reviews,clusters,tags
"Fast service at 7:20 AM when other coffee places were packed. Iced Americano was great. I generally avoid Starbucks inside other stores, so this one surprised me.",Coffee,positive
"Fast service at 7:20 AM when other coffee places were packed. Iced Americano was great. I generally avoid Starbucks inside other stores, so this one surprised me.",Place,positive
Lobby closed super early. 23 min line in drive through for a gift card.,Time,negative
Lobby closed super early. 23 min line in drive through for a gift card.,Place,negative
The young lady at the drive thru was very attentive and didn't just take my payment and leave. Had a little delay but they were slammed. Great conversation with an intelligent young lady. Order was perfect as usual.,Service,positive
The young lady at the drive thru was very attentive and didn't just take my payment and leave. Had a little delay but they were slammed. Great conversation with an intelligent young lady. Order was perfect as usual.,Time,neutral
Yummy,Food,positive
"Awful service. Today is 1/12/18 i went in there at 9:15pm and had to wait 35 min. for my coffee that i never got, so i asked for my money back because i noticed that the guy making the drinks kept skipping my cup to serve the drive-thru which i think is an awful and unfair way to do business, i know its not the employees fault because that call has to come from management but the way the 2 african american male employees commented and laughed at me when i asked for my money back was so embarrassing. Im a hard working person that treats everyone with the up most respect so I WILL BE BACK TO THIS LOCATION TO VIDEO RECORD THESE INAPPROPRIATE INDIVIDUALS AND POST IT ON YOUTUBE SO EVERYONE MAY SEE HOW BUSINESS IS RAN HERE. Not very happy with this location and mark my words I WILL BE BACK",Service,negative
"Awful service. Today is 1/12/18 i went in there at 9:15pm and had to wait 35 min. for my coffee that i never got, so i asked for my money back because i noticed that the guy making the drinks kept skipping my cup to serve the drive-thru which i think is an awful and unfair way to do business, i know its not the employees fault because that call has to come from management but the way the 2 african american male employees commented and laughed at me when i asked for my money back was so embarrassing. Im a hard working person that treats everyone with the up most respect so I WILL BE BACK TO THIS LOCATION TO VIDEO RECORD THESE INAPPROPRIATE INDIVIDUALS AND POST IT ON YOUTUBE SO EVERYONE MAY SEE HOW BUSINESS IS RAN HERE. Not very happy with this location and mark my words I WILL BE BACK",Time,negative
"Literally the WORST Starbucks location I have ever been to. And yall are inside a HOSPITAL, that should mean something. Something like know how to do your job instead of expecting customers to know how to make menu drinks. Dude my baby is in ICU. This Starbucks is nasty and smelled bad. The lady in front of me got what she orders all the time and said it tastes disgusting and spoiled. They talked trash about her as soon as she walked out. She is an er employee,  and they were making fun of her because THEY messed up a drink with spoiled milk and wouldbr even acknowledge her. Then were rude to me because I dont know how to do their job. I'm not a Starbucks employee. Have never been. Therefore HOW SHOULD I KNOW how to do YOUR job 🙄 throw this whole Starbucks EMPLOYEES AND ALL in the TRASH! TODAY!!",Place,negative
"Literally the WORST Starbucks location I have ever been to. And yall are inside a HOSPITAL, that should mean something. Something like know how to do your job instead of expecting customers to know how to make menu drinks. Dude my baby is in ICU. This Starbucks is nasty and smelled bad. The lady in front of me got what she orders all the time and said it tastes disgusting and spoiled. They talked trash about her as soon as she walked out. She is an er employee,  and they were making fun of her because THEY messed up a drink with spoiled milk and wouldbr even acknowledge her. Then were rude to me because I dont know how to do their job. I'm not a Starbucks employee. Have never been. Therefore HOW SHOULD I KNOW how to do YOUR job 🙄 throw this whole Starbucks EMPLOYEES AND ALL in the TRASH! TODAY!!",Service,negative
"Literally the WORST Starbucks location I have ever been to. And yall are inside a HOSPITAL, that should mean something. Something like know how to do your job instead of expecting customers to know how to make menu drinks. Dude my baby is in ICU. This Starbucks is nasty and smelled bad. The lady in front of me got what she orders all the time and said it tastes disgusting and spoiled. They talked trash about her as soon as she walked out. She is an er employee,  and they were making fun of her because THEY messed up a drink with spoiled milk and wouldbr even acknowledge her. Then were rude to me because I dont know how to do their job. I'm not a Starbucks employee. Have never been. Therefore HOW SHOULD I KNOW how to do YOUR job 🙄 throw this whole Starbucks EMPLOYEES AND ALL in the TRASH! TODAY!!",Coffee,negative
Another Starbucks in the area. Convenient to have after shopping at Walmart in the same parking lot. Usual friendly staff with the same great fare. A lot more space inside then other Starbucks in the area. Plenty of seating if you want to enjoy your frap inside.,Place,positive
Another Starbucks in the area. Convenient to have after shopping at Walmart in the same parking lot. Usual friendly staff with the same great fare. A lot more space inside then other Starbucks in the area. Plenty of seating if you want to enjoy your frap inside.,Service,positive
Another Starbucks in the area. Convenient to have after shopping at Walmart in the same parking lot. Usual friendly staff with the same great fare. A lot more space inside then other Starbucks in the area. Plenty of seating if you want to enjoy your frap inside.,Coffee,positive
"(Translated by Google) Excellent

(Original)
Excelent",Service,positive
Vanilla iced coffee delicious,Coffee,positive
Very quiet and relaxing...,Place,positive
"I go to this Starbucks all the time and I always think they have some of the nicest people working, but that was absolutely exemplified today when I came through the drive-thru at 10:20am on Christmas Day and had the absolute sweetest person in the window, who truly seemed like she was enjoying work even though this is the one day of the year when most people just want to be at home with their family. I felt so conflicted about going through Starbucks on Christmas, but she showed me that not everyone is sad about working today. She was an absolute gem.",Service,positive
"Always have loved the coffee, sometimes not the service.",Coffee,positive
"Always have loved the coffee, sometimes not the service.",Service,neutral
Love it!!,,positive
No matter which Starbucks I go to they always get it right. Easily the most consistent of all the major mocha stands,Coffee,positive
Aaaaa its Starbucks....what do you exspect...,Coffee,neutral
So good!! Great cups for half price!! We bought four!! 🥳,Coffee,positive
Reliably consistent,Coffee,positive
"This is my favorite Starbucks store.  I love the people, they call me by my name and are the most friendly of all Starbucks employees that I have encountered.  They treat me really good.  They are not perfect, but who is?",Service,positive
"The person in the drive through was incredibly rude. When I pulled up to receive my beverage, I saw that he had the wrong size, and politely told him I ordered a Vente. His response was, ""I know I read your order back to you, why didn't you say something then?"" Actually what he said at the speaker was, ""Cool, pull around.""

In a sad attempt to fix my order, he just poured it into a bigger cup and put a few ice cubes on top. I wish he were wearing a name tag so I could reference him to management.",Service,negative
Always great sevice and all the employees are great people,Service,positive
Chi tea.,Coffee,neutral
"Clean, friendly staff",Place,positive
"Worst service ever. Stupid people, can't keep up with the orders, messed up drinks all the time, rudeness everywhere.",Service,negative
Live this drive through! Service is always excellent!,Service,positive
Yum,Food,positive
Miguel is the best,Service,positive
Haven't been to Starbucks in a couple of months. As usual great service and my beverage was hot and fresh. I love the ease of ordering from my app. Next time your there try a carmel apple cider. Delicious.,Service,positive
"I go to Starbucks very often...I have been to all the Starbucks near the city of Southgate, CA and this is my absolute favorite! There are always friendly baristas and they make great drinks. I have absolutely nothing to complain about! :)",Service,positive
"I go to Starbucks very often...I have been to all the Starbucks near the city of Southgate, CA and this is my absolute favorite! There are always friendly baristas and they make great drinks. I have absolutely nothing to complain about! :)",Coffee,positive
Very quick and tasty!,Time,positive
Very quick and tasty!,Coffee,positive
Yummy,Food,positive
"Not enough staff, absolutely horrible customer service. I got questioned about everything i ordered. Not coming back .",Service,negative
"awesome coffee, yes they are pricey but you get well made coffee not like that doughnut chain",Coffee,positive
Fast service got it right the first time although it wasnt for me,Service,positive
"Good drinks, but mine was delivered to me melted. It was a frappacino. I was disappointed!",Coffee,negative
Love the Frappuccinos,Coffee,positive
Expensive than usually . Also wrong size and 2 dollar more than normally.,Coffee,negative
Expensive than usually . Also wrong size and 2 dollar more than normally.,Time,negative
"Great Etiquette, Great Staff And Great Drinks",Service,positive
"Great Etiquette, Great Staff And Great Drinks",Coffee,positive
Great coffee,Coffee,positive
Very friendly and quick,Service,positive
Love a stop at Starbucks. We do one hot and one cold nonfat latte. Great combo.,Coffee,positive
Great customer service,Service,positive
My coffee is always perfect,Coffee,positive
They were so good love this place!,Place,positive
"This location is always very busy and still fairly new so I take that into consideration when things take a bit longer than expected, the staff is always friendly & that's a huge thing for me.",Place,positive
"The workers were NOT good, almost mixed up my order(i had to tell them) and overall didnt make the best drink :(",Service,negative
"The workers were NOT good, almost mixed up my order(i had to tell them) and overall didnt make the best drink :(",Coffee,negative
My drink was amazing as always and they made a cookies and cream Frappuccino for my friend who’s not a coffee drinker that was perfect! They are so good to us here!,Coffee,positive
Brand new. Spacious and good vibe.,Place,positive
"(Translated by Google) Yummmmm

(Original)
Yummmmm",Food,positive
Friendly staff every time I visit.,Service,positive
Very poor customer services.,Service,negative
They are really fast,Time,positive
I would go there more often if it wasn't so expensive,Time,negative
New mugs!,Place,positive
Drive thru. Drinks made perfectly and guy was nice and I hope he makes it to his music festival.,Service,positive
Drive thru. Drinks made perfectly and guy was nice and I hope he makes it to his music festival.,Coffee,positive
Noisy,Place,negative
Coffee makes me go fassssst,Coffee,positive
fast and friendly as always!!,Service,positive
"Very high priced but if you have the money, their products are very high quality. Love their coffee!",Coffee,positive
Best Starbucks Ever!!,Place,positive
Hot chocolate is the best!,Food,positive
Great WiFi signal and bandwidth. Clean restrooms and space. Coffee is standard Sbux taste.,Place,positive
Great WiFi signal and bandwidth. Clean restrooms and space. Coffee is standard Sbux taste.,Coffee,neutral
Wife hated it,Coffee,negative
Great refreshing coffee drinks hot/ cold,Coffee,positive
Nice,Service,positive
Fast and friendly service,Service,positive
Just like every other Starbucks but smaller,Place,neutral
"The worst Starbucks ever. Poor service. Computers always down. Always Out of something. No lid for my oatmeal?! Out of coffee?! Really? I usually go to a different Starbucks and it is great.
1 week later. No sugar today. No packets, no jar, nothing.
1 week later. No lids today.
This place is a disaster and Starbucks should be ashamed to put their name on it.",Service,negative
"The worst Starbucks ever. Poor service. Computers always down. Always Out of something. No lid for my oatmeal?! Out of coffee?! Really? I usually go to a different Starbucks and it is great.
1 week later. No sugar today. No packets, no jar, nothing.
1 week later. No lids today.
This place is a disaster and Starbucks should be ashamed to put their name on it.",Food,negative
"The worst Starbucks ever. Poor service. Computers always down. Always Out of something. No lid for my oatmeal?! Out of coffee?! Really? I usually go to a different Starbucks and it is great.
1 week later. No sugar today. No packets, no jar, nothing.
1 week later. No lids today.
This place is a disaster and Starbucks should be ashamed to put their name on it.",Place,negative
Love this place. Hard working crew. I get my coffee there every day. Feels like home some days.,Service,positive
Love this place. Hard working crew. I get my coffee there every day. Feels like home some days.,Place,positive
Everything was  Tony the tiger Great,Coffee,positive
Everything was  Tony the tiger Great,Food,positive
Everything was  Tony the tiger Great,Service,positive
Nice place to just go and relax and have some coffee and desert,Place,positive
Nice place to just go and relax and have some coffee and desert,Food,positive
Worst location ever!,Place,negative
"Lately,  I've ordered the pikes place coffee from this store,  and every time,  I've been disappointed with the brew.
I'm not sure if its the store or my taste buds....but since the store opened up after the covid shutdown,  I feel the quality and taste of the coffees are not so good anymore!! Very weak and the taste seems very chemically!! Maybe chlorineny.

Not sure if the water filter is not working at this store.

I just read some of the other reviews....with similar sentiments...so, I think it'd not just my taste buds.

Hope they will improve.",Coffee,negative
Average for Starbucks,Neutral,neutral
This is my Starbucks and I love this place. I dont need to push you to go here cause its starbucks,Place,positive
"(Translated by Google) This cute and lovely hideout. Find the secret door and enter. If you go to the second floor, you can see that it is surprisingly large unlike when you open the door.

I love this place. Cute lovely staff and second floor is good for study and relax

(Original)
이 귀엽고 사랑스러운 아지트. 비밀스러운 문을 찾아 들어가보자. 2층을 가면 문을 열때와 달리 놀라울정도로 크다는 걸 알 수 있다

I love this place. Cute lovely staff and second floor is good for study and relax",Place,positive
Typical Starbucks,Coffee,neutral
"(Translated by Google) Love it

(Original)
Me encanta",,positive
Love it,General,positive
"Long line of people & no inside seating.  As with all Starbucks I've visited, seats are often taken by people with laptops who spend many hours there & some don''t even make a purchase.  Most Starbucks are really just a techie hangout.  Better coffee elsewhere.",Place,negative
"Long line of people & no inside seating.  As with all Starbucks I've visited, seats are often taken by people with laptops who spend many hours there & some don''t even make a purchase.  Most Starbucks are really just a techie hangout.  Better coffee elsewhere.",Coffee,negative
Like it good service they have,Service,positive
Great coffee shop,Coffee,positive
Always perfect!,Service,positive
"Nice coffee, sometimes a little bit dirty shops",Coffee,positive
"Nice coffee, sometimes a little bit dirty shops",Place,negative
Yummy,Food,positive
Great place for a quick snack and drink. Staff is always very friendly.,Place,positive
Great place for a quick snack and drink. Staff is always very friendly.,Service,positive
I love this place especially the cranberry bliss bar. I really hope they bring it back forever,Food,positive
Sucked,Service,negative
"Friendly staff that also have a level of proficiency not found at every Starbucks. I know my drink will come out the same consistently every time. I felt comfortable being a little daring and tried something different because I know they will make it right and I'll have a good idea if I like it or not.
The drive through and wireless charging is nice. I enjoy the mobile ordering to so I can get my drink without having to worry about saying something wrong.",Service,positive
"Friendly staff that also have a level of proficiency not found at every Starbucks. I know my drink will come out the same consistently every time. I felt comfortable being a little daring and tried something different because I know they will make it right and I'll have a good idea if I like it or not.
The drive through and wireless charging is nice. I enjoy the mobile ordering to so I can get my drink without having to worry about saying something wrong.",Coffee,positive
"Friendly staff that also have a level of proficiency not found at every Starbucks. I know my drink will come out the same consistently every time. I felt comfortable being a little daring and tried something different because I know they will make it right and I'll have a good idea if I like it or not.
The drive through and wireless charging is nice. I enjoy the mobile ordering to so I can get my drink without having to worry about saying something wrong.",Place,positive
The cashier was the best! I wish I would of asked for his name. I went today around 10:30am he was super friendly. I Loved his customer service!!,Service,positive
"(Translated by Google) This is yum.

(Original)
Le yum.",Food,positive
My granddaughter loves your coffee. She's 2 1/2.,Coffee,positive
They have good coffee,Coffee,positive
Was a bit of a wait to be served but awesome service nonetheless,Service,positive
"Busy at all times of the day, especially the drive through. Maybe I am too picky but I dislike their coffee/espresso, especially that I do not add any sweeteners to cut the taste. Tastes burned to me. Not my way to give a hard time to the barristas -- after all they do their best to prepare the drinks as ordered, serve customers quickly and be cheerful. Guess that the machines are the issue. Lately, I go there only when my wife requests it (and then she says that it was a mistake). In my humble opinion, the local McDonalds is the place to drivethrough for coffee if you like yours black or with a little milk only.",Coffee,negative
"Busy at all times of the day, especially the drive through. Maybe I am too picky but I dislike their coffee/espresso, especially that I do not add any sweeteners to cut the taste. Tastes burned to me. Not my way to give a hard time to the barristas -- after all they do their best to prepare the drinks as ordered, serve customers quickly and be cheerful. Guess that the machines are the issue. Lately, I go there only when my wife requests it (and then she says that it was a mistake). In my humble opinion, the local McDonalds is the place to drivethrough for coffee if you like yours black or with a little milk only.",Place,neutral
"Really impressed with the layout of this place!
The atmosphere and cleanliness is impeccable! The restrooms are spick and span and the service is fast.

Indoor seating is not allowed due to Covid.  However, they have outdoor seating.

I got the Vanilla cream cold brew and it was delicious. I got my sweetness levels customized as I don’t like sweeter side drinks.

They have a huge parking but when there are lot of cars for drive-thru then taking your car out from might get tricky. We experienced this difficulty. So, be smart about the parking.

Will definitely recommend this place!",Place,positive
"Really impressed with the layout of this place!
The atmosphere and cleanliness is impeccable! The restrooms are spick and span and the service is fast.

Indoor seating is not allowed due to Covid.  However, they have outdoor seating.

I got the Vanilla cream cold brew and it was delicious. I got my sweetness levels customized as I don’t like sweeter side drinks.

They have a huge parking but when there are lot of cars for drive-thru then taking your car out from might get tricky. We experienced this difficulty. So, be smart about the parking.

Will definitely recommend this place!",Service,positive
"Really impressed with the layout of this place!
The atmosphere and cleanliness is impeccable! The restrooms are spick and span and the service is fast.

Indoor seating is not allowed due to Covid.  However, they have outdoor seating.

I got the Vanilla cream cold brew and it was delicious. I got my sweetness levels customized as I don’t like sweeter side drinks.

They have a huge parking but when there are lot of cars for drive-thru then taking your car out from might get tricky. We experienced this difficulty. So, be smart about the parking.

Will definitely recommend this place!",Coffee,positive
"Really impressed with the layout of this place!
The atmosphere and cleanliness is impeccable! The restrooms are spick and span and the service is fast.

Indoor seating is not allowed due to Covid.  However, they have outdoor seating.

I got the Vanilla cream cold brew and it was delicious. I got my sweetness levels customized as I don’t like sweeter side drinks.

They have a huge parking but when there are lot of cars for drive-thru then taking your car out from might get tricky. We experienced this difficulty. So, be smart about the parking.

Will definitely recommend this place!",Place,positive
"They are very serious about closing time. I stopped in for a quick snack and the very friendly barista didn't mention any thing about closing time. About halfway into my snack (2 min later), a woman who had been sitting on a stool when I came in informed me and the gentleman who was eating next to me that they were closed. She then stared at us until we picked up our food and left. We both had to finish eating outside on the sidewalk. Most bizzare Starbucks experience ever. Three stars because the woman who made my food was very friendly and I'm not 100% sure the woman who kicked us out actually works there, though she said she did.",Time,neutral
"They are very serious about closing time. I stopped in for a quick snack and the very friendly barista didn't mention any thing about closing time. About halfway into my snack (2 min later), a woman who had been sitting on a stool when I came in informed me and the gentleman who was eating next to me that they were closed. She then stared at us until we picked up our food and left. We both had to finish eating outside on the sidewalk. Most bizzare Starbucks experience ever. Three stars because the woman who made my food was very friendly and I'm not 100% sure the woman who kicked us out actually works there, though she said she did.",Service,positive
"They are very serious about closing time. I stopped in for a quick snack and the very friendly barista didn't mention any thing about closing time. About halfway into my snack (2 min later), a woman who had been sitting on a stool when I came in informed me and the gentleman who was eating next to me that they were closed. She then stared at us until we picked up our food and left. We both had to finish eating outside on the sidewalk. Most bizzare Starbucks experience ever. Three stars because the woman who made my food was very friendly and I'm not 100% sure the woman who kicked us out actually works there, though she said she did.",Place,negative
"Excellent taste in coffee, made with love THANKS ISLAM💕!!",Coffee,positive
Perfect the whole weekend 5/5 great drinks,Coffee,positive
Fast and staff was very friendly,Service,positive
great as ususl,Service,positive
Sorry. Starbucks sucks. Overpriced mediocre-at-best coffee,Coffee,negative
Starbucks’s political stance takes them completely off my list.,Place,negative
"$1 off any drinks from Seven on State receipt for same day purchase.

Cluttered. Plenty of SEATING and TABLES to chilax. SMOKED BUTTERSCOTCH LATTE was decent even though I couldn't taste the flavor.",Place,neutral
"$1 off any drinks from Seven on State receipt for same day purchase.

Cluttered. Plenty of SEATING and TABLES to chilax. SMOKED BUTTERSCOTCH LATTE was decent even though I couldn't taste the flavor.",Coffee,neutral
I love this location! The staff are wonderful and always pleasant. They often take a few extra seconds to ask how you are or how your day is going.  Keep up the excellent work!,Service,positive
"This starbuck needs better drive thru managment.  I understand it's a busy day but the barista at the window tells us to move forward to a already packed line. Blocking us in while we wait for our order, decides to finish the order for the car behind us and we physically  cannot move forward. The only way is to move out the the parking lot completely  and leave Starbucks. -tip, dont complete the order for the car behind us if you dont have move for us to park and wait. We were waiting on a ham swiss sandwich to be heated. You dont even made the sandwiches. They come in bags and you place them in microwaves for a couple of mins. This mistake you did cause nothing but road rage in your driveway....not from us from the cars behind us because they wanted to leave and we couldnt move forward. Management should honeslty look into this so it doesn't happen again..",Service,negative
"This starbuck needs better drive thru managment.  I understand it's a busy day but the barista at the window tells us to move forward to a already packed line. Blocking us in while we wait for our order, decides to finish the order for the car behind us and we physically  cannot move forward. The only way is to move out the the parking lot completely  and leave Starbucks. -tip, dont complete the order for the car behind us if you dont have move for us to park and wait. We were waiting on a ham swiss sandwich to be heated. You dont even made the sandwiches. They come in bags and you place them in microwaves for a couple of mins. This mistake you did cause nothing but road rage in your driveway....not from us from the cars behind us because they wanted to leave and we couldnt move forward. Management should honeslty look into this so it doesn't happen again..",Time,negative
"This starbuck needs better drive thru managment.  I understand it's a busy day but the barista at the window tells us to move forward to a already packed line. Blocking us in while we wait for our order, decides to finish the order for the car behind us and we physically  cannot move forward. The only way is to move out the the parking lot completely  and leave Starbucks. -tip, dont complete the order for the car behind us if you dont have move for us to park and wait. We were waiting on a ham swiss sandwich to be heated. You dont even made the sandwiches. They come in bags and you place them in microwaves for a couple of mins. This mistake you did cause nothing but road rage in your driveway....not from us from the cars behind us because they wanted to leave and we couldnt move forward. Management should honeslty look into this so it doesn't happen again..",Food,neutral
Great with friends and coffee,Place,positive
Great with friends and coffee,Coffee,positive
Great,,positive
Molly was a godsend her voice delightful pleasant experience all around,Service,positive
Way too expensive.,Food,negative
"Went this morning,  I asked for extra carmel and a shot of espresso for 2 drinks and I was charged for them and didn't get extra carmel or espresso. Very disappointed 😞",Coffee,negative
Love Starbucks,Coffee,positive
"Cashier was taking her time to shake and drink her eggnog while having a couple customers waiting, very unprofessional. Food came up ok, just unprofessional to talk with a customer while drinking.",Service,negative
Great Service! I got a vanilla frap with matcha powder in it. It was so good!,Service,positive
Great Service! I got a vanilla frap with matcha powder in it. It was so good!,Coffee,positive
"This Starbucks has nice outdoor seating as well as lots of indoor seating.
The line moved fast and the barista’s were all smiles and helpful.
They got my order right and the coffee tasted great.
2 drawbacks #1 the place was not well kept and #2 I did not see any natural substitute sugar’s like Stevia in the condiment area.",Place,positive
"This Starbucks has nice outdoor seating as well as lots of indoor seating.
The line moved fast and the barista’s were all smiles and helpful.
They got my order right and the coffee tasted great.
2 drawbacks #1 the place was not well kept and #2 I did not see any natural substitute sugar’s like Stevia in the condiment area.",Service,positive
"This Starbucks has nice outdoor seating as well as lots of indoor seating.
The line moved fast and the barista’s were all smiles and helpful.
They got my order right and the coffee tasted great.
2 drawbacks #1 the place was not well kept and #2 I did not see any natural substitute sugar’s like Stevia in the condiment area.",Coffee,positive
"This Starbucks has nice outdoor seating as well as lots of indoor seating.
The line moved fast and the barista’s were all smiles and helpful.
They got my order right and the coffee tasted great.
2 drawbacks #1 the place was not well kept and #2 I did not see any natural substitute sugar’s like Stevia in the condiment area.",Place,negative
"This Starbucks has nice outdoor seating as well as lots of indoor seating.
The line moved fast and the barista’s were all smiles and helpful.
They got my order right and the coffee tasted great.
2 drawbacks #1 the place was not well kept and #2 I did not see any natural substitute sugar’s like Stevia in the condiment area.",Coffee,negative
You always know what you're going to get with Starbucks.... So that's always the positive frequenting there.,Coffee,positive
Not much to say. Decent coffee and tea drinks. Doesn't feel very cozy though.,Coffee,neutral
Not much to say. Decent coffee and tea drinks. Doesn't feel very cozy though.,Place,neutral
Great place to start the day.,Place,positive
Long lines and overpriced coffee.,Time,negative
Long lines and overpriced coffee.,Coffee,negative
Thanks for giving me Gina’s drink this morning. It tastes terrible.,Coffee,negative
"I give this store 1 star because every time I order  something , they don’t give the exact what I asked for.
Today , I asked for s’mores frap and they give me something else .
When I said this is not s’mores , they said no it is .
I don’t how people over there work and not making exact what the customer asked for .
I’m done with this place",Service,negative
"This is a great Starbucks.  Spacious with good seating options, an outdoor patio, and a drive-through.  The employees are great and cheerful, and the food and drinks are always great.",Place,positive
"This is a great Starbucks.  Spacious with good seating options, an outdoor patio, and a drive-through.  The employees are great and cheerful, and the food and drinks are always great.",Service,positive
"This is a great Starbucks.  Spacious with good seating options, an outdoor patio, and a drive-through.  The employees are great and cheerful, and the food and drinks are always great.",Food,positive
"This is a great Starbucks.  Spacious with good seating options, an outdoor patio, and a drive-through.  The employees are great and cheerful, and the food and drinks are always great.",Coffee,positive
There fast,Time,positive
"(Translated by Google) Quick service. Non-economic prices. Acceptable coffee.

(Original)
Servizio rapido. Prezzi non economici. Caffè accettabile.",Service,positive
"(Translated by Google) Quick service. Non-economic prices. Acceptable coffee.

(Original)
Servizio rapido. Prezzi non economici. Caffè accettabile.",Time,positive
"(Translated by Google) Quick service. Non-economic prices. Acceptable coffee.

(Original)
Servizio rapido. Prezzi non economici. Caffè accettabile.",Coffee,neutral
I loved it,Service,positive
"Good food, good drinks and their pastries are really good. The staff are extremely friendly and professional.  Good number of seats both inside and outdoor. Lots of space for parking. The staffs is very efficient and seems like they enjoy their jobs. They are always helpful. Love how they encourage for you to customize your order to fit your needs and wants.",Food,positive
"Good food, good drinks and their pastries are really good. The staff are extremely friendly and professional.  Good number of seats both inside and outdoor. Lots of space for parking. The staffs is very efficient and seems like they enjoy their jobs. They are always helpful. Love how they encourage for you to customize your order to fit your needs and wants.",Coffee,positive
"Good food, good drinks and their pastries are really good. The staff are extremely friendly and professional.  Good number of seats both inside and outdoor. Lots of space for parking. The staffs is very efficient and seems like they enjoy their jobs. They are always helpful. Love how they encourage for you to customize your order to fit your needs and wants.",Place,positive
"Good food, good drinks and their pastries are really good. The staff are extremely friendly and professional.  Good number of seats both inside and outdoor. Lots of space for parking. The staffs is very efficient and seems like they enjoy their jobs. They are always helpful. Love how they encourage for you to customize your order to fit your needs and wants.",Service,positive
Really enjoy how much happiness all the employees brought us! Thank you very much and love the rainbow outside!,Service,positive
Love Starbucks!,Coffee,positive
Service was good but my drink wasn't up to par.,Service,positive
Service was good but my drink wasn't up to par.,Coffee,negative
"Great people working here, great coffee!",Service,positive
"Great people working here, great coffee!",Coffee,positive
It's a Starbucks. You know what you're getting into.,Coffee,neutral
Cafe Americana!,Coffee,positive
Service is so slow with no organization. Waited ten min for espresso,Service,negative
It's good for drive through pickup,Time,positive
They told me they that only little shops make brava' really,Coffee,negative
Great service. Friendly staff.,Service,positive
Ok,Neutral,neutral
"It's okay, but it would be nice if they kept it a little cleaner. Feels very dumpy especially later in the day.",Place,neutral
Understaffed. This is a supermarket location. Being chintzy with staffing is stupid.,Service,negative
Kind and warm,Service,positive
Great Starbucks — great staff — drink order is always correct. I’ve made a few mistakes when using the mobile app and they always fix it anyway. Glad to have this location nearby!,Service,positive
Great Starbucks — great staff — drink order is always correct. I’ve made a few mistakes when using the mobile app and they always fix it anyway. Glad to have this location nearby!,Place,positive
"Nice, clean",Place,positive
"Love these guys! They're always super quick and really sweet.
Exactly what I need before work! A quick pick-me-up! A double-dose of some sweet tasting, caffeinated heaven, fueling me up to go fight the good fight against death, disease, and famine.
Onward, I say!
Today this perfect Strawberry Acai (with lemonade, not water, cause obvs...) is the only thing keeping me going in the trenches of our local Emergency Room.
Thanks Starbucks!",Service,positive
"Love these guys! They're always super quick and really sweet.
Exactly what I need before work! A quick pick-me-up! A double-dose of some sweet tasting, caffeinated heaven, fueling me up to go fight the good fight against death, disease, and famine.
Onward, I say!
Today this perfect Strawberry Acai (with lemonade, not water, cause obvs...) is the only thing keeping me going in the trenches of our local Emergency Room.
Thanks Starbucks!",Coffee,positive
"Love these guys! They're always super quick and really sweet.
Exactly what I need before work! A quick pick-me-up! A double-dose of some sweet tasting, caffeinated heaven, fueling me up to go fight the good fight against death, disease, and famine.
Onward, I say!
Today this perfect Strawberry Acai (with lemonade, not water, cause obvs...) is the only thing keeping me going in the trenches of our local Emergency Room.
Thanks Starbucks!",Time,positive
Lots of room to spread out.,Place,positive
Always yum!,Food,positive
Got myself my all time favorite coffee drink and tomato basil panini. Loved the customer service and food.,Coffee,positive
Got myself my all time favorite coffee drink and tomato basil panini. Loved the customer service and food.,Food,positive
Got myself my all time favorite coffee drink and tomato basil panini. Loved the customer service and food.,Service,positive
Nice place and good customer service. It just have to wait a little because of the long line.,Place,positive
Nice place and good customer service. It just have to wait a little because of the long line.,Service,positive
Nice place and good customer service. It just have to wait a little because of the long line.,Time,negative
Great customer service people are friendly,Service,positive
"Pleasant environment, outside under an umbrella, enjoying a beautiful day with a friend.",Place,positive
Great staff!!,Service,positive
The service is always great and never fails to make me smile!! They loved my little chihuahua and even gave him a pupschino that's free!! He loved it!!!,Service,positive
Don't know why but this is easily the slowest Starbucks I've ever been to and I've been to Starbucks from Beijing to Berlin. There was 2 different times that I was there and the barista made the same excuse of dropping something on her hand so she had to work slower. Either she's very clumsy or she is just a slow worker using the same excuse so you don't get mad. The line is always about 6 cars long when I pass and don't recommend getting on the end of that train because it does not move fast. You're best bet is to go inside. It has been noticeably faster when I go in and can see the line in the drive thru is moving at a much slower pace.,Time,negative
Don't know why but this is easily the slowest Starbucks I've ever been to and I've been to Starbucks from Beijing to Berlin. There was 2 different times that I was there and the barista made the same excuse of dropping something on her hand so she had to work slower. Either she's very clumsy or she is just a slow worker using the same excuse so you don't get mad. The line is always about 6 cars long when I pass and don't recommend getting on the end of that train because it does not move fast. You're best bet is to go inside. It has been noticeably faster when I go in and can see the line in the drive thru is moving at a much slower pace.,Service,negative
They were trying to rob us,Service,negative
Fast service and good employee's,Service,positive
its a coffee addict quick fix... lol,Coffee,positive
Super,Service,positive
"Clean, easy atmosphere to do some work and relax..",Place,positive
"Great place, but never enough seating, and the customers tend to camp!",Place,neutral
Def a place to relax on a cup of coffee...,Place,positive
Good and relaxing,Place,positive
No visit yet,Place,neutral
👍👍👍👍👍,Service,positive
"(Translated by Google) Well

(Original)
Bueno",Service,positive
Love the coffees but dislike the prices!,Coffee,neutral
